dataset	field	threshold	lower_interval_em	distance	higher_interval_em	lower_interval_f1	distance	higher_interval_f1	samples	sample_size	len_lower	len_higher	lower_em_list	higher_em_list	lower_f1_list	higher_f1_list
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	81.125	lower	89.07134537720805	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	70.25	higher	78.5375672046364	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	81.75	lower	88.66674398874446	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	69.375	higher	78.2725018359556	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	82.5	lower	89.70914829594159	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	69.0	higher	77.36586271748426	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	82.75	lower	89.28461318625959	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	70.375	higher	78.7198746492164	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	82.875	lower	90.49322956810164	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	69.5	higher	79.25370321439448	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	84.75	lower	91.021438300405	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	69.375	higher	78.14341496806907	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	83.875	lower	90.50534775395454	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	67.875	higher	77.23156879727443	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	83.5	lower	90.1435164549668	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	70.0	higher	78.51548622320554	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	83.5	lower	89.72895550108701	lower
